SupplierName,SupplierEmail,SupplierPhoneNumber,KraPin,BankAccount,BankName,BranchName,SwiftCode,BillingAddress,PostalCode,County
mnBYzhAS,mnBYzhAS@example.com,5039362799,P013711967,664380484378,kIZmSVut,aAIzWORl,DQKBXIZX,85TOY1leaZQGJbK,53881,aLwazRgI
MrYcFOEk,MrYcFOEk@example.com,2900449499,P851619948,747879085718,ycboTrOH,uAaoTDDS,GAEFMSCI,bYbT121EyvB0YLB,98395,TwbGVWUB
VSYIyXdG,VSYIyXdG@example.com,0591760010,P878183927,916066478486,ButTORSa,uFRxlAyI,ASWCGEHD,Lr1SwzNLQZZCnhl,63247,HTfxtqya
evpUaEcB,evpUaEcB@example.com,0967458797,P212963661,088679250803,MUJEIUay,pbePWjVp,OFBUFHYZ,pMUjioI5w83fFyy,51106,vecxMDZp
TlPNvIME,TlPNvIME@example.com,1021289909,P499679082,043604088361,VRublDmB,xPBpIUaa,NPBPVZCK,YXQhQb8OEGKSetS,26249,mESBfPvs
pCSIqDPf,pCSIqDPf@example.com,4966289045,P855885586,154846473967,iUgvIwnZ,HBHXZPNH,TTRLOCHU,n7vRJtNPYf9f5eM,28694,MwSsaIOE
XBjsROzY,XBjsROzY@example.com,8234421329,P826030298,110140867352,SSOoBEIM,PHWxlaSn,ZPRJLEDV,o5EWyjcVaSmudHI,22330,LYJzsUwP
zmYBYHTF,zmYBYHTF@example.com,3030891462,P663501072,120772018608,eWfzcyfK,GUwkHoKs,YAXTSZFY,pxSXfN5eLj814Y2,33142,YYZZYjsd
YqewRLqr,YqewRLqr@example.com,1346585361,P052078348,553393798360,nqMaVnAd,nGyCRJJF,SUOGQSSY,SkhWtNFOdJHEIFv,09879,wKyqHsjT
IBymdtTI,IBymdtTI@example.com,0414026464,P038917835,929329900213,eHmjpLHq,jpOwKlIT,INKJXJMZ,E34hzpOfu1cKm5h,73748,kbjvkwWB
BTITLXbC,BTITLXbC@example.com,1396148745,P073763132,760642454123,dyUCKWFI,JMtLajSK,GOXCDJWD,BlFozWMlXe4xdBV,81048,RTQfjkFv
SsfoOETT,SsfoOETT@example.com,8664052066,P010065339,287042235153,xPRihoyM,EDXhgHWv,UCOGZRTB,c8dhJBPjdo7qvTM,65893,VjmUqIvh
uFncIQeX,uFncIQeX@example.com,6635989746,P148555446,614368901084,BfpxrCXv,hQpruEal,TXDROMBG,4FFayFXLvj3MFdC,95738,ConesmNA
UiBQsYHH,UiBQsYHH@example.com,0372900212,P042577682,468031589340,mEPWdffQ,WliavamZ,ADRQWKKV,CnD2Fjfr6xr6pnm,28949,krEojlzO
FLfdkizz,FLfdkizz@example.com,3318501908,P958196721,935629904249,fUvfMpvo,bhOECCgd,KQOGFGDE,Ui2qnweQ5P5YG74,51983,IBRyAwkj
wFbLUIcL,wFbLUIcL@example.com,9929590395,P005521046,753020277308,LRjlSluP,UOcmZaOq,NEVMQWZA,nEyU5AaeaaRtsiv,08856,ufaxiouy
TiOPGBNB,TiOPGBNB@example.com,6460771436,P766707374,941290256132,MitDZWDH,tTNgBsml,ZEMFOMYU,ADrBjDqjgci4QuT,95028,dojDHmep
JnxZiREm,JnxZiREm@example.com,0561700633,P372728161,710385147730,UNWhwvXo,oQekujNa,QYKOPSLJ,qdoZuVcIV9WqMwr,02070,bWabeKFY
mSjFICng,mSjFICng@example.com,1510718985,P422289166,231979743142,gYcZwhpY,DxrpufvL,KTICTMRT,kgqQ2KseG6mkhta,28545,wdhycXkU
xzRGfahQ,xzRGfahQ@example.com,0920624040,P056056956,346927935933,PiHOroFb,SRXJijRQ,YQUXZNSV,hBiVMe7iB3SlEaL,29976,tDXSjkSA
